iter	Passed	Remaining
0	60	60557
1	60	30352
2	61	20292
3	61	15254
4	61	12232
5	61	10216
6	61	8778
7	62	7706
8	62	6869
9	62	6204
10	62	5655
11	63	5196
12	63	4807
13	63	4475
14	63	4185
15	63	3932
16	64	3709
17	64	3511
18	64	3335
19	64	3177
20	65	3033
21	65	2901
22	65	2781
23	65	2671
24	65	2570
25	66	2478
26	66	2392
27	66	2311
28	66	2235
29	66	2165
30	67	2099
31	67	2038
32	67	1979
33	67	1924
34	67	1874
35	68	1826
36	68	1781
37	68	1737
38	68	1695
39	69	1656
40	69	1618
41	69	1582
42	69	1549
43	69	1519
44	70	1489
45	70	1462
46	70	1434
47	70	1408
48	71	1383
49	71	1360
50	71	1336
51	72	1313
52	72	1292
53	72	1271
54	72	1250
55	72	1229
56	73	1210
57	73	1191
58	73	1173
59	73	1155
60	74	1139
61	74	1123
62	74	1107
63	74	1091
64	74	1077
65	75	1063
66	75	1049
67	75	1035
68	75	1021
69	75	1008
70	76	996
71	76	983
72	76	971
73	76	960
74	76	949
75	77	938
76	77	928
77	77	918
78	78	909
79	78	900
80	78	890
81	78	881
82	78	871
83	79	862
84	79	853
85	79	845
86	79	836
87	79	828
88	80	820
89	80	812
90	80	805
91	80	797
92	81	790
93	81	783
94	81	776
95	81	769
96	81	762
97	82	755
98	82	749
99	82	742
100	82	736
101	82	729
102	83	723
103	83	717
104	83	711
105	83	705
106	83	699
107	84	694
108	84	688
109	84	683
110	84	677
111	84	672
112	85	668
113	85	663
114	85	659
115	86	655
116	86	650
117	86	645
118	86	640
119	86	636
120	86	631
121	87	626
122	87	622
123	87	618
124	87	614
125	88	610
126	88	606
127	88	603
128	88	599
129	89	595
130	89	592
131	89	588
132	89	584
133	89	580
134	90	577
135	90	573
136	90	569
137	90	566
138	90	562
139	91	559
140	91	555
141	91	551
142	91	548
143	91	545
144	91	541
145	92	538
146	92	535
147	92	532
148	92	529
149	92	526
150	93	524
151	93	521
152	93	519
153	94	516
154	94	514
155	94	511
156	94	508
157	94	505
158	95	503
159	95	500
160	95	497
161	95	495
162	95	492
163	96	489
164	96	487
165	96	485
166	96	482
167	96	480
168	97	477
169	97	475
170	97	473
171	97	470
172	97	468
173	98	466
174	98	463
175	98	461
176	98	458
177	98	456
178	99	454
179	99	452
180	99	450
181	99	448
182	99	446
183	100	443
184	100	442
185	100	440
186	100	438
187	101	436
188	101	434
189	101	433
190	101	431
191	102	429
192	102	427
193	102	425
194	102	424
195	103	422
196	103	420
197	103	419
198	103	417
199	103	415
200	104	413
201	104	411
202	104	410
203	104	408
204	104	406
205	105	405
206	105	403
207	105	402
208	105	400
209	106	398
210	106	397
211	106	395
212	106	393
213	106	392
214	107	390
215	107	389
216	107	387
217	107	385
218	107	384
219	108	383
220	108	381
221	108	380
222	108	379
223	109	377
224	109	376
225	109	375
226	109	373
227	109	372
228	110	371
229	110	369
230	110	368
231	110	366
232	111	365
233	111	364
234	111	363
235	111	361
236	111	360
237	112	359
238	112	357
239	112	356
240	112	355
241	112	353
242	113	352
243	113	351
244	113	349
245	113	348
246	113	347
247	114	346
